         341098 function calls (251026 primitive calls) in 2.045 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\xml\etree\ElementTree.py:1193(parse)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\object_panel\propbox\propbox_view.py:13(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\xml\etree\ElementTree.py:544(parse)
       59    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\pictograph\pictogaph_init.py:155(init_locations)
       90    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1252.py:22(decode)
        2    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box.py:64(setup_box)
        2    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\turns_widget.py:130(_create_turns_label)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\option_picker\letter_buttons.py:181(update_size)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\option_picker\letter_buttons.py:156(update_letter_buttons_size)
     1095    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\start_end_widget.py:151(_setup_start_end_header_label)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\graph_editor.py:66(update_size)
       21    0.000    0.000    0.000    0.000 {built-in method setScene}
        1    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:962(parse)
     1937    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     1154    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      2/1    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:445(_parse_sub)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\utilities\layout_manager.py:85(add_black_border_to_widgets)
        4    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\start_end_widget.py:28(__init__)
        2    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box.py:75(apply_border_style)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1343(_find_and_load)
        8    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\utilities\layout_manager.py:99(add_black_border)
       90    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       16    0.000    0.000    0.000    0.000 {built-in method addRect}
        2    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\header_widget.py:79(_setup_clock)
        2    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\start_end_widget.py:136(_setup_arrow_label)
       80    0.000    0.000    0.000    0.000 {built-in method center}
       32    0.000    0.000    0.000    0.000 {built-in method setFlags}
      2/1    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:505(_parse)
        1    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:571(_code)
      126    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:376(__init__)
        2    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\object_panel\objectbox.py:11(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
      126    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:940(_check_for_existing_members_)
       72    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       33    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       47    0.000    0.000    0.000    0.000 {built-in method setFlat}
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\object_panel\propbox\propbox_view.py:27(resizeEvent)
       25    0.000    0.000    0.000    0.000 {built-in method addLayout}
       36    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\xml\etree\ElementPath.py:260(select)
     1574    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:1168(__init__)
      843    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      113    0.000    0.000    0.000    0.000 {function MainWidget.eventFilter at 0x000001C3392A6B60}
      119    0.000    0.000    0.000    0.000 {built-in method boundingRect}
       72    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
        5    0.000    0.000    0.000    0.000 {built-in method setPalette}
      185    0.000    0.000    0.000    0.000 {built-in method setFixedSize}
       47    0.000    0.000    0.000    0.000 {built-in method defaultSize}
        1    0.000    0.000    0.000    0.000 {built-in method setWindowTitle}
      123    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
      169    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       32    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\objects\graphical_object.py:85(set_attributes_from_dict)
       92    0.000    0.000    0.000    0.000 {built-in method setRotation}
       18    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\objects\arrow.py:189(update_rotation)
       20    0.000    0.000    0.000    0.000 {built-in method addItem}
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\utilities\layout_manager.py:68(configure_main_layout)
      589    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:93(_is_single_bit)
        1    0.000    0.000    0.000    0.000 {method '_parse_whole' of 'xml.etree.ElementTree.XMLParser' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
      6/1    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:37(_compile)
      256    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py:224(floatstr)
